project_name,method,seed,accuracy,macro_f1,best_val_accuracy,epochs,real_finetune_epochs,real_finetune_lr,train_size,real_finetune_size,test_size,selected_per_class,config_path,summary_csv
ccds_pets20_160_sp80_core_realft,margin_topk,0,0.9106511862695608,0.909786399774346,0.915,30,5.0,0.0001,1700,100.0,1981,80,configs/sweeps/pets20_160_sp80_core_realft.yaml,/root/gpufree-data/clip_diffusion_fewshot_ccds_results/classifier/ccds_pets20_160_sp80_core_realft/margin_topk/seed0/summary.csv
ccds_pets20_160_sp80_core_realft,margin_topk,1,0.906612821807168,0.9064586354950638,0.925,30,5.0,0.0001,1700,100.0,1981,80,configs/sweeps/pets20_160_sp80_core_realft.yaml,/root/gpufree-data/clip_diffusion_fewshot_ccds_results/classifier/ccds_pets20_160_sp80_core_realft/margin_topk/seed1/summary.csv
ccds_pets20_160_sp80_core_realft,margin_topk,2,0.9106511862695608,0.9098023319620973,0.9,30,5.0,0.0001,1700,100.0,1981,80,configs/sweeps/pets20_160_sp80_core_realft.yaml,/root/gpufree-data/clip_diffusion_fewshot_ccds_results/classifier/ccds_pets20_160_sp80_core_realft/margin_topk/seed2/summary.csv
